早上|ㄗㄠˇ ㄕㄤ˙|early morning; CL:個/个[ge4].
早飯|ㄗㄠˇ ㄈㄢˋ|breakfast; CL:份[fen4],頓/顿[dun4],次[ci4],餐[can1].
早安|ㄗㄠˇ ㄢ|Good morning!.
早|ㄗㄠˇ|early; morning; Good morning!; long ago; prematurely.
髒|ㄗㄤ|dirty; filthy; to get (sth) dirty.
贊|ㄗㄢˋ|to patronize; to support; to praise; (Internet slang) to like (an online post on Facebook etc).
再見|ㄗㄞˋ ㄐㄧㄢˋ|goodbye; see you again later.
再|ㄗㄞˋ|again; once more; re-; second; another; then (after sth, and not until then); no matter how ... (followed by an adjective or verb, and then (usually) 也[ye3] or 都[dou1] for emphasis).
在|ㄗㄞˋ|(located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress).
運動|ㄩㄣˋ ㄉㄨㄥˋ|to move; to exercise; sports; exercise; motion; movement; campaign; CL:場/场[chang3].
月亮|ㄩㄝˋ ㄌㄧㄤ˙|the moon.
越來越|ㄩㄝˋ ㄌㄞˊ ㄩㄝˋ|more and more.
約會|ㄩㄝ ㄏㄨㄟˋ|appointment; engagement; date; CL:次[ci4],個/个[ge4]; to arrange to meet.
月餅|ㄩㄝˋ ㄅㄧㄥˇ|mooncake (esp. for the Mid-Autumn Festival).
月|ㄩㄝˋ|moon; month; monthly; CL:個/个[ge4],輪/轮[lun2].
願意|ㄩㄢˋ ㄧˋ|to wish; to want; ready; willing (to do sth).
原諒|ㄩㄢˊ ㄌㄧㄤˋ|to excuse; to forgive; to pardon.
圓|ㄩㄢˊ|circle; round; circular; spherical; (of the moon) full; unit of Chinese currency (yuan); tactful; to make consistent and whole (the narrative of a dream or a lie).
遠|ㄩㄢˇ|far; distant; remote; (intensifier in a comparison) by far; much (lower etc).
遠|ㄩㄢˋ|to distance oneself from (classical).
元|ㄩㄢˊ|surname Yuan; the Yuan or Mongol dynasty (1279-1368).
元|ㄩㄢˊ|currency unit (esp. Chinese yuan); first; original; primary; fundamental; constituent; part; era (of a reign); meta- (prefix); (math.) argument; variable; (Tw) (geology) eon.
語言|ㄩˇ ㄧㄢˊ|language; CL:門/门[men2],種/种[zhong3].
預算|ㄩˋ ㄙㄨㄢˋ|budget.
羽毛|ㄩˇ ㄇㄠˊ|feather; plumage; plume.
愉快|ㄩˊ ㄎㄨㄞˋ|cheerful; cheerily; delightful; pleasant; pleasantly; pleasing; happy; delighted.
語法|ㄩˇ ㄈㄚˇ|grammar.
遇到|ㄩˋ ㄉㄠˋ|to meet; to run into; to come across.
雨|ㄩˇ|rain; CL:陣/阵[zhen4],場/场[chang2].
雨|ㄩˋ|(literary) to rain; (of rain, snow etc) to fall; to precipitate; to wet.
魚|ㄩˊ|surname Yu.
魚|ㄩˊ|fish; CL:條/条[tiao2],尾[wei3].
游泳|ㄧㄡˊ ㄩㄥˇ|swimming; to swim.
遊戲|ㄧㄡˊ ㄒㄧˋ|game; CL:場/场[chang3]; to play.
油條|ㄧㄡˊ ㄊㄧㄠˊ|youtiao (deep-fried breadstick); CL:根[gen1]; slick and sly person.
有名|ㄧㄡˇ ㄇㄧㄥˊ|famous; well-known.
有點兒|ㄧㄡˇ ㄉㄧㄢˇ ㄦ˙|slightly; a little; somewhat.
右邊|ㄧㄡˋ ㄅㄧㄢ˙|right side; right, to the right.
右|ㄧㄡˋ|right (-hand); the Right (politics); west (old).
游|ㄧㄡˊ|surname You.
游|ㄧㄡˊ|to swim; variant of 遊/游[you2].
又|ㄧㄡˋ|(once) again; also; both... and...; and yet; (used for emphasis) anyway.
有|ㄧㄡˇ|to have; there is; there are; to exist; to be.
用|ㄩㄥˋ|to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore.
泳|ㄩㄥˇ|swimming; to swim.
英語|ㄧㄥ ㄩˇ|English (language).
應用|ㄧㄥˋ ㄩㄥˋ|to put to use; to apply; practical; applied (science, linguistics etc); application; practical use; (computing) app.
影響|ㄧㄥˇ ㄒㄧㄤˇ|influence; effect; to influence; to affect (usually adversely); to disturb; CL:股[gu3].
英文|ㄧㄥ ㄨㄣˊ|English (language).
英國|ㄧㄥ ㄍㄨㄛˊ|United Kingdom 聯合王國/联合王国[Lian2 he2 wang2 guo2]; United Kingdom of Great Britain and Northern Ireland; abbr. for England 英格蘭/英格兰[Ying1 ge2 lan2].
應該|ㄧㄥ ㄍㄞ|ought to; should; must.
贏|ㄧㄥˊ|to beat; to win; to profit.
銀行|ㄧㄣˊ ㄏㄤˊ|bank; CL:家[jia1],個/个[ge4].
因為|ㄧㄣ ㄨㄟˋ|because; owing to; on account of.
飲料|ㄧㄣˇ ㄌㄧㄠˋ|drink; beverage.
音樂|ㄧㄣ ㄩㄝˋ|music; CL:張/张[zhang1],曲[qu3],段[duan4].
印度|ㄧㄣˋ ㄉㄨˋ|India.
陰|ㄧㄣ|surname Yin.
